Connecting to host 192.168.3.2, port 10021
[  6] local 192.168.2.2 port 40290 connected to 192.168.3.2 port 10021
[  6]  66.00-67.00  sec  0.00 Bytes  0.00 bits/sec    0   8.10 MBytes       
[  6]  67.00-68.00  sec  0.00 Bytes  0.00 bits/sec    0   8.18 MBytes       
[  6]  68.00-69.00  sec  0.00 Bytes  0.00 bits/sec    0   8.28 MBytes       
[  6]  69.00-70.00  sec  41.9 MBytes   351 Mbits/sec    0   8.40 MBytes       
[  6]  70.00-71.00  sec  0.00 Bytes  0.00 bits/sec    0   8.55 MBytes       
[  6]  71.00-72.00  sec  0.00 Bytes  0.00 bits/sec    0   8.73 MBytes       
[  6]  72.00-73.00  sec  0.00 Bytes  0.00 bits/sec    0   8.94 MBytes       
[  6]  73.00-74.00  sec  0.00 Bytes  0.00 bits/sec   17   8.98 MBytes       
[  6]  74.00-75.00  sec  0.00 Bytes  0.00 bits/sec  169   7.76 MBytes       
[  6]  75.00-76.00  sec  0.00 Bytes  0.00 bits/sec  177   6.51 MBytes       
[  6]  76.00-77.00  sec  0.00 Bytes  0.00 bits/sec   78   6.40 MBytes       
[  6]  77.00-78.00  sec  0.00 Bytes  0.00 bits/sec    0   6.40 MBytes       
[  6]  78.00-79.00  sec  0.00 Bytes  0.00 bits/sec    0   6.46 MBytes       
[  6]  79.00-80.00  sec  0.00 Bytes  0.00 bits/sec    0   6.63 MBytes       
[  6]  80.00-81.00  sec  0.00 Bytes  0.00 bits/sec    0   6.92 MBytes       
[  6]  81.00-82.00  sec  0.00 Bytes  0.00 bits/sec    0   7.21 MBytes       
[  6]  82.00-83.00  sec  41.9 MBytes   351 Mbits/sec    0   7.50 MBytes       
[  6]  83.00-84.00  sec  0.00 Bytes  0.00 bits/sec    0   7.76 MBytes       
[  6]  84.00-85.00  sec  0.00 Bytes  0.00 bits/sec    0   8.00 MBytes       
[  6]  85.00-86.00  sec  0.00 Bytes  0.00 bits/sec    0   8.21 MBytes       
[  6]  86.00-87.00  sec  0.00 Bytes  0.00 bits/sec    0   8.39 MBytes       
[  6]  87.00-88.00  sec  0.00 Bytes  0.00 bits/sec    0   8.55 MBytes       
[  6]  88.00-89.00  sec  0.00 Bytes  0.00 bits/sec    0   8.68 MBytes       
[  6]  89.00-90.00  sec  0.00 Bytes  0.00 bits/sec    0   8.79 MBytes       
[  6]  90.00-91.00  sec  0.00 Bytes  0.00 bits/sec   55   8.30 MBytes       
[  6]  91.00-92.00  sec  0.00 Bytes  0.00 bits/sec   94   7.17 MBytes       
[  6]  92.00-93.00  sec  0.00 Bytes  0.00 bits/sec   60   6.22 MBytes       
[  6]  93.00-94.00  sec  0.00 Bytes  0.00 bits/sec   35   6.19 MBytes       
[  6]  94.00-95.00  sec  0.00 Bytes  0.00 bits/sec    0   6.19 MBytes       
[  6]  95.00-96.00  sec  42.0 MBytes   352 Mbits/sec    0   6.24 MBytes       
[  6]  96.00-97.00  sec  0.00 Bytes  0.00 bits/sec    0   6.38 MBytes       
[  6]  97.00-98.00  sec  0.00 Bytes  0.00 bits/sec    0   6.55 MBytes       
[  6]  98.00-99.00  sec  0.00 Bytes  0.00 bits/sec    0   6.72 MBytes       
[  6]  99.00-100.00 sec  0.00 Bytes  0.00 bits/sec    0   6.84 MBytes       
[  6] 100.00-101.00 sec  0.00 Bytes  0.00 bits/sec    0   6.84 MBytes       
[  6] 101.00-102.00 sec  0.00 Bytes  0.00 bits/sec    0   6.84 MBytes       
[  6] 102.00-103.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  6] 103.00-103.46 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  6]   0.00-103.46 sec   417 MBytes  33.8 Mbits/sec  3379            sender
[  6]   0.00-103.46 sec  0.00 Bytes  0.00 bits/sec                  receiver
iperf3: interrupt - the client has terminated by signal Interrupt(2)
Connecting to host 192.168.3.2, port 10021
[  6] local 192.168.2.2 port 41498 connected to 192.168.3.2 port 10021
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-1.00   sec   124 MBytes  1.04 Gbits/sec    0    172 KBytes       
