SduHoldingQueue:vector ExtClientServerExample.gnb.cellularNic.rlc.UmTxEntity Lcid: 1 (#0 - test-0-20250830-13:43:36-16472),
6.3335294818,500
6.3385143178,500
6.3435732708,500
6.3484853888,500
6.3535993928,500
6.3588197698,500
6.3633712858,500
6.3696838268,500
6.3734483418,500
6.3804415008,500
6.3837448858,500
6.3884899798,500
6.3934150678,500
6.3979384768,500
6.4028074948,500
6.4078213418,500
6.4129601388,500
6.4177014448,500
6.4239719518,500
6.4276743698,500
6.4325373478,500
6.4374376528,500
6.4419129778,500
6.4466979438,500
6.4516210478,500
6.4575063328,500
6.4614355178,500
6.4683069388,500
6.4709580818,500
6.4759623978,500
6.4807623528,500
6.4853656108,500
6.4927789678,500
6.5015859148,500
6.5022624198,500
6.5046081508,500
6.5096413578,500
6.5144185238,500
6.5192539128,500
6.5237339748,500
6.5302881258,500
6.5333526158,500
6.5408682258,500
6.5427350908,500
6.5476266558,500
6.5524547318,500
6.5573397458,500
6.5624458828,500
6.5665416718,500
6.5737664338,500
6.5759724078,500
6.5808326348,500
6.5855025408,500
6.5902513118,500
6.5954667198,500
6.5996109628,500
6.6064214078,500
6.6089660708,500
6.6135399128,500
6.6184335388,500
6.6229901088,500
6.6287232218,500
6.6325643638,500
6.6366867558,500
6.6413391358,500
6.6463561418,500
6.6506771818,500
6.6555507008,500
6.6615454498,500
6.6646908348,500
6.6694078388,500
6.6739433888,500
6.6784091868,500
6.6835030478,500
6.6876863718,500
6.6944194438,500
6.6967442698,500
6.7013248458,500
6.7058858458,500
6.7103845958,500
6.7167758868,500
6.7198068178,500
6.7242362308,500
6.7286047788,500
6.7333261488,500
6.7384795908,500
6.7423073638,500
6.7469505758,500
6.7513044768,500
6.7559935018,500
6.7608587268,500
6.7653141698,500
6.7714443738,500
6.7739633338,500
6.7786370128,500
6.7829480738,500
6.7874362068,500
6.7938499818,500
6.7969743798,500
6.8012901918,500
6.8053867688,500
6.8097235548,500
6.8154697198,500
6.8187713438,500
6.8233404018,500
6.8277724178,500
6.8322297988,500
6.8374398368,500
6.8409058918,500
6.8452688888,500
6.8497493928,500
6.8556379188,500
6.8606619348,500
6.8633899278,500
6.8675487198,500
6.8718700208,500
6.8763164208,500
6.8815212638,500
6.8853106928,500
6.8895148638,500
6.8938275918,500
6.8984005408,500
6.9035096518,500
6.9069066078,500
6.9114120658,500
6.9158245348,500
6.9203430018,500
6.9256855288,500
6.9287854458,500
6.9333424428,500
6.9374757658,500
6.9418098998,500
6.9475898998,500
6.9505955878,500
6.9547595658,500
6.9595213528,500
6.9636470898,500
6.9693854198,500
6.9734110188,500
6.9762766478,500
6.9806076598,500
6.9853594168,500
6.9917602408,500
6.9936932408,500
6.9982429698,500
7.0025931748,500
7.0064502708,500
7.0106599628,500
7.0149546028,500
7.0193856918,500
7.0248693328,500
7.0279586718,500
7.0319835378,500
7.0363547368,500
7.0406073088,500
7.0489313868,500
7.0502814428,500
7.0532227848,500
7.0576183088,500
7.0617500208,500
7.0676927388,500
7.0703286048,500
7.0745985898,500
7.0794466278,500
7.0829365808,500
7.0868938678,500
7.0915995968,500
7.0953020768,500
7.1014891008,500
7.1036988888,500
7.1079288658,500
7.1123638348,500
7.1164940748,500
7.1207230798,500
7.1246095448,500
7.1293055278,500
7.1346233888,500
7.1377059828,500
7.1415043958,500
7.1456866528,500
7.1496722948,500
7.1540024808,500
7.1583263068,500
7.1623385998,500
7.1677346348,500
7.1706950948,500
7.1744278588,500
7.4219088078,500
7.4263894548,500
7.4314060468,500
7.4347372568,500
7.4384570428,500
7.4432162258,500
7.4467405008,500
7.4508265178,500
7.4549164648,500
7.4594253008,500
7.6883649638,500
7.7218922598,500
7.7539128998,500
7.9728379968,500
8.0439423728,500
8.1015524368,500
8.3924416358,500
8.4656712188,500
8.5212882408,500
8.5712088978,500
8.6157600608,500
8.6573474808,500
8.7858999468,500
8.8308187598,500
8.8725130448,500
8.9094957258,500
8.9446660638,500
8.9783138488,500
9.0097290438,500
9.0398655058,500
9.0705390178,500
9.0963098028,500
9.1255627348,500
9.1492385588,500
9.1743268288,500
9.1982996428,500
9.2218326758,500
9.2487507188,500
10.8598885038,500
10.8857868258,500
10.9119980348,500
10.9354195148,500
13.0066129858,500
14.6753146808,500
16.4217311918,500
17.9636696808,500
19.5219249758,500
21.0989146938,500
22.6718774808,500
24.7812199448,500
61.4166917138,500
62.6517861098,500
63.8146778058,500
64.9528066628,500
66.1978457088,500
67.2365008488,500
68.4036667508,500
