rlcDelayDl:vector ExtClientServerExample.ue.cellularNic.nrRlc.um (#0 - test-0-20250830-13:43:36-16472),
0.642,0.007026822199999999
0.642,0.006467373199999999
0.643,0.007106268199999999
0.643,0.005142623199999999
0.644,0.0055536782
0.645,0.006188696199999999
0.645,0.005648047199999998
0.646,0.006287241199999999
0.646,0.0057506642
0.647,0.006393438199999998
0.648,0.007071384199999999
0.648,0.006149060199999998
0.649,0.0065406292
0.649,0.006181000199999999
0.65,0.006580877199999999
0.651,0.0072036532
0.651,0.0066517442
0.652,0.007284364199999998
0.652,0.006732035199999999
0.653,0.0073696852
0.654,0.008034936199999998
0.654,0.007464781199999999
0.655,0.008110652199999998
0.656,0.0070797532
0.656,0.006441690199999999
0.657,0.007028539199999999
0.657,0.006476031199999999
0.658,0.007110764199999999
0.659,0.007564919199999998
0.659,0.007205872199999999
0.66,0.0066381692
0.66,0.005149478199999999
0.662,0.004590430199999998
0.668,0.0044824792
0.669,0.0050149722
0.669,0.0044775322
0.67,0.0050896902
0.671,0.0055791112
0.671,0.0051863402
0.672,0.005708903199999998
0.672,0.005347016199999998
0.673,0.006011620199999999
0.674,0.0065593682
0.674,0.006207333199999999
0.675,0.006559852199999998
0.675,0.006155048199999998
0.676,0.0056673482
0.677,0.006288629199999999
0.677,0.005725374199999999
0.678,0.006365081199999999
0.678,0.006030982199999999
0.679,0.006471924199999999
0.68,0.007115485199999998
0.68,0.0066101362
0.681,0.007256448199999999
0.681,0.006391403199999999
0.682,0.007028085199999999
0.683,0.0074684282
0.683,0.0071107962
0.684,0.007564585199999999
0.684,0.007209141199999999
0.685,0.007661393199999999
0.686,0.008306245199999999
0.686,0.007756157199999998
0.687,0.0083956762
0.688,0.0090579322
0.688,0.008521377199999999
0.689,0.009160175199999998
0.689,0.007146793199999999
0.69,0.0074801642
0.691,0.008098241199999998
0.691,0.007554549199999999
0.692,0.008187738199999999
0.692,0.007641522199999998
0.693,0.008279630199999998
0.694,0.0083387192
0.694,0.007750069199999999
0.695,0.008380933199999999
0.695,0.0080496652
0.696,0.0084892812
0.697,0.009041878199999998
0.697,0.008111001199999998
0.698,0.007748036199999998
0.698,0.0071411892
0.7,0.0042752802
0.702,0.0042808172
0.703,0.004599693199999999
