rlcThroughputDl:vector ExtClientServerExample.ue.cellularNic.nrRlc.um (#0 - test-0-20250830-13:43:36-16472),
0.468,359138.888888889923
0.469,361556.50319829001
0.469,364739.8720682299452
0.47,367140.4255319099165
0.471,369530.7855626299267
0.471,372700.6369426799927
0.472,375074.1525423700212
0.473,377437.6321353099765
0.473,380594.0803382699367
0.474,382940.9282700399625
0.474,386090.7172995799912
0.475,388421.0526315799205
0.476,390741.5966386599457
0.476,393878.1512604999577
0.477,396182.3899371100115
0.477,399312.3689727499142
0.478,401600.4184100399717
0.479,403878.9144050099412
0.48,406147.916666670003
0.481,408407.48440747999
0.481,411511.4345114299782
0.482,413755.1867219900002
0.483,415989.6480331299817
0.483,419080.7453416099295
0.484,421299.5867768599412
0.485,423509.2783505199467
0.485,426587.62886597996
0.486,428781.893004119977
0.486,431853.9094650199392
0.487,434032.8542094499562
0.488,436202.8688524599412
0.488,439262.2950819699315
0.489,441417.1779141100115
0.49,443563.265306119922
0.49,446610.2040816299837
0.491,448741.344195519922
0.492,450863.8211382100107
0.492,453898.3739837399905
0.493,456006.0851926999157
0.493,459034.4827586199377
0.494,461127.5303643699725
0.495,463212.1212121199335
0.495,466228.2828282800025
0.496,468298.3870967699905
0.501,466604.7904191599215
0.502,468649.402390439993
0.503,470685.8846918499315
0.503,473654.0755467199475
0.504,475676.587301590013
0.505,477691.089108909944
0.505,480647.5247524799765
0.506,482648.221343869924
0.507,484641.0256410299315
0.507,487585.798816569963
0.508,489564.960629920008
0.508,492503.9370078699415
0.509,494469.54813359992
0.51,496427.450980389955
0.51,499354.9019607799115
0.511,501299.4129158499405
0.511,504221.1350293499405
0.512,506152.34375
0.513,508076.0233918100115
0.513,510986.354775829938
0.514,512896.8871595299555
0.514,515801.556420229956
0.515,517699.02912621002
0.516,519589.147286819991
0.516,522482.5581395300095
0.517,524359.767891679889
0.517,527247.5822050299015
0.518,529111.9691119699265
0.519,530969.171483619836
0.519,533845.857418109894
0.52,535690.38461537985
0.52,538561.5384615398935
0.521,540393.4740882900065
0.522,542218.390804599969
0.522,545078.5440612998775
0.523,546891.0133843198405
0.524,548696.5648854998855
0.524,551545.8015267199355
0.525,553339.047619049902
0.525,556182.857142859836
0.526,557963.8783269999535
0.527,559738.140417459885
