rlcThroughputDl:vector ExtClientServerExample.ue.cellularNic.nrRlc.um (#0 - test-0-20250830-13:43:36-16472),
13.145,2347295.473564099515
13.146,2347230.488361500197
13.146,2347344.059029399412
13.147,2347279.075074199582
13.15,2346857.110266199327
13.151,2346792.183103899465
13.151,2346905.710592399345
13.152,2346840.784671499387
13.153,2346775.868623100217
13.153,2346889.378848900082
13.154,2346824.464041399765
13.154,2346937.965637799345
13.155,2346873.052071499632
13.156,2346808.148373399855
13.156,2346921.632715099485
13.157,2346856.730257700195
13.157,2346970.20597399957
13.158,2346905.304757599715
13.159,2346840.41340530011
13.159,2346953.871874799945
13.16,2346888.98176290001
13.16,2347002.43161089997
13.161,2346937.542739899825
13.162,2346872.663728899315
13.162,2346986.096337899562
13.163,2346921.2185672
13.163,2347034.642558699467
13.164,2346969.766028599807
13.165,2346904.899354299525
13.165,2347018.306114699687
13.166,2346953.440680500115
13.166,2347066.838827299877
13.167,2347001.974633599625
13.168,2346937.1202916
13.168,2347050.50121509935
13.169,2346985.6481130002
13.17,2346920.80485949944
13.17,2347034.168564899815
13.171,2346969.326550799415
13.171,2347082.68164910003
13.172,2347017.840874600217
13.173,2346953.00994460005
13.173,2347066.3478326993
13.174,2347001.5181417996
13.174,2347114.847426699467
13.175,2347050.018975299777
13.176,2346985.20036430004
13.176,2347098.512446899892
13.177,2347033.695074799462
13.177,2347146.998558099375
13.178,2347082.182425299652
13.179,2347017.376128699625
13.179,2347130.66241749934
13.18,2347065.857359599315
13.18,2347179.135053100057
13.181,2347114.331234400157
13.182,2347049.53724779933
13.182,2347162.797754500052
13.183,2347098.005006399932
13.183,2347211.256921799847
13.184,2347146.465412599962
13.185,2347081.683731500052
13.185,2347194.918467999427
13.186,2347130.138025199987
13.187,2347065.367407299572
13.187,2347178.584970000195
13.188,2347113.81558990012
13.188,2347227.024567799637
13.189,2347162.256425799797
13.19,2347097.4981045993
13.19,2347210.689916599535
13.191,2347145.93283300008
13.191,2347259.116063999937
13.192,2347194.360218299545
13.194,2346951.720478999422
13.195,2346887.002652499815
13.195,2347000.151572600002
13.196,2346935.434980299315
13.197,2346870.72819579951
13.197,2346983.859968199387
13.198,2346919.154417299657
13.198,2347032.27761780004
13.199,2346967.573300999585
13.2,2346902.878787899385
13.2,2347015.984848500222
13.201,2346951.29156879987
13.201,2347064.389061399727
13.202,2346999.69701559934
13.203,2346935.014769399532
13.203,2347048.095129899675
13.204,2346983.414116899475
13.204,2347096.485913399602
13.205,2347031.806133999482
13.206,2346967.136150199915
13.206,2347080.190822400147
13.207,2347015.522071599955
13.207,2347128.568183499382
13.208,2347063.9006663002
13.209,2346999.24294039979
13.209,2347112.271935800087
13.21,2347047.6154427994
13.21,2347160.635881899852
13.211,2347095.98062219936
13.212,2347031.33514990005
13.212,2347144.33848019968
13.213,2347079.694240500212
13.214,2347015.059785099695
13.214,2347128.04601179994
13.215,2347063.412788500072
13.215,2347176.390465400175
13.216,2347111.758474599562
13.217,2347047.1362638995
13.217,2347160.096845000047
13.218,2347095.475866199462
13.219,2347030.864664499642
13.219,2347143.80815489962
13.22,2347079.198184600095
13.22,2347192.13313159998
13.221,2347127.524392999705
13.222,2347062.92542729992
13.222,2347175.843291499647
13.223,2347111.245556999925
13.223,2347224.15488159935
13.224,2347159.55837870016
13.225,2347094.971644599915
13.225,2347207.863894099365
13.226,2347143.278390999877
13.226,2347256.162104899987
13.227,2347191.577833199867
13.228,2347127.003326299592
13.228,2347239.8699727999
13.229,2347175.29669670015
13.23,2347110.733182200225
13.23,2347223.582766399712
13.231,2347159.020482200195
13.231,2347271.861537300047
13.232,2347207.300483699882
13.233,2347142.749187599862
13.233,2347255.573188199657
13.234,2347191.023122299457
13.234,2347303.838597599412
13.235,2347239.289761999617
13.236,2347174.750679999585
13.236,2347287.549108499657
13.237,2347223.011256299907
13.237,2347335.801163399587
13.238,2347271.264541499312
13.239,2347206.737668999462
13.239,2347319.510536999437
13.24,2347254.984894299875
13.24,2347367.74924470018
13.241,2347303.224832000205
13.242,2347238.710164600047
13.242,2347351.45748380012
13.243,2347286.944045899427
13.243,2347399.68285129964
13.244,2347335.170643299815
13.245,2347270.668176699425
13.245,2347383.389958499925
13.246,2347318.88872110005
13.247,2347254.397222000167
13.247,2347367.101985399607
13.248,2347302.611715000115
13.248,2347415.307970999735
13.249,2347350.818929700175
13.25,2347286.3396226
13.25,2347399.018867899657
13.251,2347334.540789400222
13.251,2347447.21153119951
13.252,2347382.734681599767
13.253,2347318.267562099725
13.253,2347430.92130079958
13.254,2347366.455409700047
13.254,2347479.100648899557
13.255,2347414.635986399832
13.256,2347350.181050099425
13.256,2347462.80929389968
13.257,2347398.355585699895
13.257,2347510.975333799602
13.258,2347446.522854099975
13.259,2347382.080096499987
13.259,2347494.68285689968
13.26,2347430.241327299727
13.26,2347542.835595799602
13.261,2347478.395294499577
13.262,2347413.96471119951
13.262,2347526.541999699542
13.263,2347462.112644200207
13.264,2347397.693003599525
13.264,2347510.253317199642
13.265,2347445.834903899572
13.265,2347558.38673199992
13.266,2347493.969546199767
13.267,2347429.562071300107
13.267,2347542.09693219978
13.268,2347477.690684399562
13.268,2347590.217063600195
13.269,2347525.812043099657
13.27,2347461.41672949958
13.27,2347573.926149199712
13.271,2347509.532062400127
13.271,2347622.03300429973
13.272,2347557.64014470018
13.273,2347493.256987899535
13.273,2347605.740977900097
13.274,2347541.359047799365
13.274,2347653.834563800127
13.275,2347589.45386059954
13.276,2347525.08285629935
13.276,2347637.541428099377
13.277,2347573.171650200147
13.277,2347685.621751899825
13.278,2347621.25320080015
13.279,2347556.894344499327
13.279,2347669.32750959973
13.28,2347604.969879499632
13.28,2347717.39457829948
13.281,2347653.03817479964
13.282,2347588.69146209955
13.282,2347701.09923199936
13.283,2347636.753745399412
13.284,2347572.417946400115
13.284,2347684.808792499815
13.285,2347620.474218999962
13.285,2347732.85660520009
13.286,2347668.523257600137
13.287,2347604.199593599882
13.287,2347716.565063599492
13.288,2347652.242624899365
13.288,2347764.599638800132
13.289,2347700.278425799675
13.29,2347635.966892399815
13.29,2347748.306997699657
13.291,2347683.99668949935
13.291,2347796.328342500135
13.292,2347732.019259699612
13.293,2347667.719852599307
13.293,2347780.034604699345
13.294,2347715.736422399985
13.294,2347828.042725999835
13.295,2347763.745769099327
13.296,2347699.458483799352
13.296,2347811.747894099907
13.297,2347747.461833499365
13.297,2347859.74279909953
13.298,2347795.457963599815
13.299,2347731.18279569968
13.299,2347843.44687569979
13.3,2347779.172932299777
13.301,2347714.908653499552
13.301,2347827.155852899882
13.302,2347762.89279809966
13.302,2347875.131559199647
13.303,2347810.86972859967
13.304,2347746.617558599445
13.304,2347858.839446799825
13.305,2347794.58850059937
13.305,2347906.801954199552
13.306,2347842.55223209969
13.307,2347778.3121664999
13.307,2347890.50875480007
13.308,2347826.269912799815
13.308,2347938.458070299582
13.309,2347874.220452299337
13.31,2347809.992486899712
13.31,2347922.163786599407
13.311,2347857.937044499437
13.311,2347970.09991739969
13.312,2347905.874398999842
13.313,2347841.658529299305
13.313,2347953.804551899427
13.314,2347889.589905399825
13.314,2348001.72750489972
13.315,2347937.514081900002
13.316,2347873.310303399335
13.316,2347985.431060399852
13.317,2347921.228504899882
13.317,2348033.34084249939
13.318,2347969.139510399657
13.319,2347904.947818899522
13.319,2348017.043321600177
13.32,2347952.852852899575
13.321,2347888.67202159948
13.321,2348000.75069439969
13.322,2347936.57108539994
13.322,2348048.64134509954
13.323,2347984.462958799667
13.324,2347920.294205899345
13.324,2348032.347643399607
13.325,2347968.18011259939
13.325,2348080.22514070011
13.326,2348016.05883239954
13.327,2347951.902153499417
13.327,2348063.930366899812
13.328,2347999.77491000015
13.328,2348111.79471789952
13.329,2348047.640483199612
13.33,2347983.495873999777
13.33,2348095.49887469969
13.331,2348031.355487199495
13.331,2348143.350086299695
13.332,2348079.207920799955
13.333,2348015.075376899907
13.333,2348127.053176299662
13.334,2348062.921853899952
13.334,2348174.89125540014
13.335,2348110.761154899367
13.336,2348046.640671899535
13.336,2348158.593281299802
13.337,2348094.474019600072
13.338,2348030.364372500212
13.338,2348142.300194899545
13.339,2348078.191768500015
13.339,2348190.11919930018
13.34,2348126.011993999585
13.341,2348061.914399200112
13.341,2348173.825050599867
13.342,2348109.728676400145
13.342,2348221.63093989994
13.343,2348157.535786599845
13.344,2348093.450239799912
13.344,2348205.33573140017
13.345,2348141.25140499975
13.345,2348253.1285125995
13.346,2348189.045406899412
13.347,2348124.971903800027
13.347,2348236.832246899602
13.348,2348172.759963999495
13.348,2348284.611926900217
13.349,2348220.54086450021
13.35,2348156.479400699952
13.35,2348268.314606700087
13.351,2348204.254362999455
13.351,2348316.081192399367
13.352,2348252.022168999532
13.353,2348187.972740199412
13.353,2348299.782820300195
13.354,2348235.734611399467
13.355,2348171.695993999945
13.355,2348283.489329800002
13.356,2348219.451931700105
13.356,2348331.236897299992
13.357,2348267.20071869995
13.358,2348203.174127900037
13.358,2348314.942356599487
13.359,2348250.916984799307
13.359,2348362.67684709932
13.36,2348298.652694599697
13.361,2348234.638125900175
13.361,2348346.38125889934
13.362,2348282.36790899932
13.362,2348394.102679199532
13.363,2348330.09054849948
13.364,2348266.0879975995
13.364,2348377.806046099395
13.365,2348313.804713799612
13.365,2348425.514403299425
13.366,2348361.514289999375
13.367,2348297.523752499365
13.367,2348409.216727799727
13.368,2348345.227408699687
13.368,2348456.91202870011
13.369,2348392.923928500147
13.37,2348328.945400100195
13.37,2348440.61331340018
13.371,2348376.63600329961
13.371,2348488.295564999797
13.372,2348424.319473499425
13.373,2348360.352950000197
13.373,2348471.99581249989
13.374,2348408.030507000157
13.375,2348344.074766399335
13.375,2348455.700934600077
13.376,2348391.746411499562
13.376,2348503.364234399975
13.377,2348439.4109291993
13.378,2348375.467184899367
13.378,2348487.0683210995
13.379,2348423.12579420022
13.379,2348534.718588800165
13.38,2348470.777279499912
13.381,2348406.845527200022
13.381,2348518.42164259962
13.382,2348454.49110750015
13.382,2348566.058885099362
13.383,2348502.129567399617
13.384,2348438.2098027002
13.384,2348549.760908499355
13.385,2348485.842360899777
13.385,2348597.385132599617
13.386,2348533.46780219953
13.387,2348469.560020899392
13.387,2348581.08612830005
13.388,2348517.179563799865
13.388,2348628.697340900072
13.389,2348564.791993400077
13.39,2348500.896191199305
13.39,2348612.397311399687
13.391,2348548.502725699912
13.392,2348484.61768219992
13.392,2348596.102150499815
13.393,2348532.21832299977
13.393,2348643.694467299612
13.394,2348579.811856099397
13.395,2348515.938783099867
13.395,2348627.398282899515
13.396,2348563.526425799347
13.396,2348674.977605300017
13.397,2348611.106964199797
13.398,2348547.245857600117
13.398,2348658.6804000996
13.399,2348594.820508999745
13.399,2348706.246734799812
13.4,2348642.388059699902
13.401,2348578.53891499992
13.401,2348689.948511299672
13.402,2348626.100581999862
13.402,2348737.501865399995
13.403,2348673.655151799315
13.404,2348609.817964799697
13.404,2348721.202626099805
13.405,2348657.366654199542
13.405,2348768.743006300175
13.406,2348704.90824999939
13.407,2348641.083016299637
13.407,2348752.442753800182
13.408,2348688.618735100135
13.408,2348799.970167099492
13.409,2348736.14736369997
13.41,2348672.334079000157
13.41,2348783.66890379972
13.411,2348719.85683389939
13.412,2348656.054279699915
13.412,2348767.37250219937
13.413,2348703.571162300177
13.413,2348814.881085500115
13.414,2348751.080960200165
13.415,2348687.29034660011
13.415,2348798.583674999877
13.416,2348734.794275499875
13.416,2348846.07930829934
13.417,2348782.291123200202
13.418,2348718.512445999305
13.418,2348829.78089130017
13.419,2348766.00342800002
13.419,2348877.263581499452
13.42,2348813.487332299345
13.421,2348749.720587099895
13.421,2348860.964160599737
13.422,2348797.19862909987
13.422,2348908.43391449935
13.423,2348844.669596999877
13.424,2348780.914779500097
13.424,2348892.133492299347
13.425,2348828.379888299845
13.425,2348939.590316600157
13.426,2348875.837926399887
13.427,2348812.095032399512
13.427,2348923.288895499887
13.428,2348859.547214799552
13.429,2348795.81502719968
13.429,2348906.9923299998
13.43,2348843.261355199845
13.43,2348954.43037969991
13.431,2348890.700617999765
13.432,2348826.980345400047
13.432,2348938.132817199447
13.433,2348874.413757199415
13.433,2348985.55795430019
13.434,2348921.84010719973
13.435,2348858.131745399902
13.435,2348969.25939709972
13.436,2348905.552247699345
13.436,2349016.6716284994
13.437,2348952.96569169964
13.438,2348889.269236499437
13.438,2349000.372079200105
13.439,2348936.67683609947
13.439,2349047.771411599585
13.44,2348984.077380999915
13.441,2348920.39282790012
13.441,2349031.47087270021
13.442,2348967.787531599397
13.442,2349078.85731290001
13.443,2349015.17518409993
13.444,2348951.502528999925
13.444,2349062.555786999865
13.445,2348998.884343599892
13.446,2348935.222370999857
13.446,2349046.259110500097
13.447,2348982.598349099972
13.447,2349093.62683129962
13.448,2349029.96728140022
13.449,2348966.317198299797
13.449,2349077.32916949968
13.45,2349013.680297399862
13.45,2349124.68401489965
13.451,2349061.036354199977
13.452,2348997.398156399832
13.452,2349108.385370199562
13.453,2349044.748383299445
13.453,2349155.72734710015
13.454,2349092.091571299352
13.455,2349028.46525460015
13.455,2349139.42772199958
13.456,2349075.802615899587
13.456,2349186.756837099785
13.457,2349123.132941999465
13.458,2349059.51850199978
13.458,2349170.45623419992
13.459,2349106.84300469979
13.459,2349217.772494199677
13.46,2349154.160475499925
13.461,2349090.557907999487
13.461,2349201.47091600019
13.462,2349137.869558800007
13.462,2349248.774327700022
13.463,2349185.174181099975
13.464,2349121.583481899457
13.464,2349232.471776599987
13.465,2349168.882287399837
13.466,2349105.302242700002
13.466,2349216.17406800016
13.467,2349152.595232799642
13.467,2349263.458825299512
13.468,2349199.881199900052
13.469,2349136.31301509961
13.469,2349247.160145499737
13.47,2349183.593169999305
13.47,2349294.432071300217
13.471,2349230.86630539968
13.472,2349167.309976199637
13.472,2349278.132422800167
13.473,2349214.577302799552
13.473,2349325.391523799852
13.474,2349261.837613199835
13.475,2349198.293135399925
13.475,2349309.090909100132
13.476,2349245.547640199765
13.476,2349356.337191999882
13.477,2349292.79513239953
13.478,2349229.262501900077
13.478,2349340.035613600157
13.479,2349276.504191699432
13.479,2349387.269085199565
13.48,2349323.73887239955
13.481,2349260.218084699467
13.481,2349370.966545499855
13.482,2349307.44696629978
13.483,2349243.936809299507
13.483,2349354.668842200182
13.484,2349291.159893199797
13.484,2349401.883713999757
13.485,2349338.37597330007
13.486,2349274.877650899807
13.486,2349385.585051199415
13.487,2349322.087936500082
13.487,2349432.78712829947
13.488,2349369.291221799325
13.489,2349305.804729799735
13.489,2349416.487508299752
13.49,2349353.002223899582
13.49,2349463.676797599525
13.491,2349400.192721099585
13.492,2349336.718055100175
13.492,2349447.37622290011
13.493,2349383.90276439953
13.493,2349494.552730999882
13.494,2349431.0804801993
13.495,2349367.617636200032
13.495,2349478.2512040995
13.496,2349414.78956730011
13.496,2349525.41493779979
13.497,2349461.954508399582
13.498,2349398.503481999965
13.498,2349509.112461099395
13.499,2349445.662641699417
13.499,2349556.263426899907
13.5,2349492.814814799462
13.501,2349429.375601800155
13.501,2349539.960002999745
13.502,2349476.5219967002
13.503,2349413.093386699437
13.503,2349523.661408599462
13.504,2349460.23400469962
13.504,2349570.793838899575
13.505,2349507.367641599845
13.506,2349443.950836699447
13.506,2349554.494298799887
13.507,2349491.078699899832
13.507,2349601.613977899767
13.508,2349538.199585399585
13.509,2349474.794581400225
13.509,2349585.3134947
13.51,2349521.909696499807
13.51,2349632.42042929958
13.511,2349569.01783729996
13.512,2349505.624629999502
13.512,2349616.1190053001
13.513,2349552.72700359951
13.513,2349663.213202099307
13.514,2349599.82240639999
13.515,2349536.440991499455
13.515,2349646.910839799785
13.516,2349583.530630399467
13.516,2349693.992305399845
13.517,2349630.613301799627
13.518,2349567.24367509968
13.518,2349677.689007199362
13.519,2349614.3205857994
13.52,2349550.961538500147
13.52,2349661.390532500105
13.521,2349598.032689900132
13.521,2349708.453516799952
13.522,2349645.096879200072
13.523,2349581.7496117996
13.523,2349692.15410779975
13.524,2349628.808044999835
13.524,2349739.20437739975
13.525,2349675.859519399697
13.526,2349612.52402780018
13.526,2349722.90403669979
13.527,2349659.569749400015
13.527,2349769.941598299885
13.528,2349706.608515699387
13.529,2349643.284795599982
13.529,2349753.640328199597
13.53,2349690.317812299347
13.53,2349800.66518849972
13.531,2349737.343876999797
13.532,2349674.03192429989
13.532,2349784.362991400057
13.533,2349721.052242700002
13.533,2349831.375156999557
13.534,2349768.065612499597
13.535,2349704.765422999852
13.535,2349815.072035499842
13.536,2349751.773049599485
13.537,2349688.48341580014
13.537,2349798.773731299667
13.538,2349735.485300599592
13.538,2349845.767469299952
13.539,2349782.480242299842
13.54,2349719.20236339978
13.54,2349829.468242200087
13.541,2349766.191566400225
13.541,2349876.44930209964
13.542,2349813.17382960021
13.543,2349749.907701400105
13.543,2349860.149154500097
13.544,2349796.884229199955
13.544,2349907.117542799557
13.545,2349843.85382059961
13.546,2349780.59943890012
13.546,2349890.81647720001
13.547,2349827.563298099667
13.547,2349937.772200499657
13.548,2349874.520224399862
13.549,2349811.277585099445
13.549,2349921.47021919954
13.55,2349858.2287822999
13.55,2349968.413284099657
13.551,2349905.173049999395
13.552,2349841.9421488
13.552,2349952.11038959957
13.553,2349888.880690599785
13.553,2349999.04080280009
13.554,2349935.812306299802
13.555,2349872.593139099882
13.555,2349982.736997399472
13.556,2349919.519032199862
13.557,2349856.31039319932
13.557,2349966.438002499745
13.558,2349903.230564999387
13.558,2350013.35005159955
13.559,2349950.143815900195
13.56,2349886.946902699765
13.56,2349997.050147499882
13.561,2349933.854435499752
13.561,2350043.9495612001
13.562,2349980.755050899455
13.563,2349917.56985920015
13.563,2350027.648750299582
13.564,2349964.464759699995
13.564,2350074.535535199562
13.565,2350011.352745999577
13.566,2349948.179271699855
13.566,2350058.233819799492
13.567,2349995.061546400182
13.567,2350105.107982600102
13.568,2350041.93691040016
13.569,2349978.775149200105
13.569,2350088.805365200147
13.57,2350025.64480469934
13.57,2350135.666912299575
13.571,2350072.507552899415
13.572,2350009.357500699345
13.572,2350119.363395200105
13.573,2350056.214543599632
13.574,2349993.074996300037
13.574,2350103.0646824995
13.575,2350039.926335199727
13.575,2350149.907918999897
13.576,2350086.770771999837
13.577,2350023.642925499932
13.577,2350133.608308199787
13.578,2350070.481661499472
13.578,2350180.43894539959
13.579,2350117.313498799682
13.58,2350054.197348999785
13.58,2350164.138438899995
13.581,2350101.023488699452
13.581,2350210.956483299837
13.582,2350147.842732999467
13.583,2350084.738275799895
13.583,2350194.655083599492
13.584,2350131.551825699392
13.584,2350241.460541799657
13.585,2350178.358483599492
13.586,2350115.2657146994
13.586,2350225.158251100212
13.587,2350162.066681399937
13.587,2350271.951129799702
13.588,2350208.860759499475
13.589,2350145.779674699525
13.589,2350255.647950499315
13.59,2350192.568064799525
13.59,2350302.428256100037
13.591,2350239.34956960007
13.592,2350176.28016479965
13.592,2350286.1241906993
13.593,2350223.055984700095
13.594,2350159.997057499357
13.594,2350269.824922800062
13.595,2350206.767193799832
13.595,2350316.58698049932
13.596,2350253.530450100072
13.597,2350190.483194800087
13.597,2350300.286828000092
13.598,2350237.240770699452
13.598,2350347.036328899667
13.599,2350283.991469999767
13.6,2350220.955882399337
13.6,2350330.73529409989
13.601,2350267.7009042995
13.601,2350377.47224469948
13.602,2350314.439053099595
13.603,2350251.415128999382
13.603,2350361.170330099757
13.604,2350298.147603599347
13.604,2350407.894736799405
13.605,2350344.873208399855
13.606,2350281.86094370018
13.606,2350391.5919447001
13.607,2350328.58087749965
13.607,2350438.30381419975
13.608,2350375.293944699682
13.609,2350312.293335299932
13.609,2350422.000146999952
13.61,2350359.000734799535
13.611,2350296.010579699647
13.611,2350405.701270999382
13.612,2350342.712312700222
13.612,2350452.394945600062
13.613,2350389.40718430001
13.614,2350326.428676399395
13.614,2350436.095196099945
13.615,2350373.11788470018
13.615,2350482.776349599465
13.616,2350419.800234999502
13.617,2350356.833370099767
13.617,2350466.475728900165
13.618,2350403.51006019953
13.618,2350513.144367699507
13.619,2350450.17989569995
13.62,2350387.2246695999
13.62,2350496.842878099525
13.621,2350433.888848099852
13.621,2350543.49900889955
13.622,2350480.54617530014
13.623,2350417.60258390009
13.623,2350527.196652700187
13.624,2350464.25425719935
13.624,2350573.840281900012
13.625,2350510.899082600135
13.626,2350447.96712169982
13.626,2350557.537061499425
13.627,2350494.606296299952
13.628,2350431.684766699552
13.628,2350541.238626400002
13.629,2350478.318291899745
13.629,2350587.864113300102
13.63,2350524.944974299515
13.631,2350462.035067100072
13.631,2350571.564815499815
13.632,2350508.656103299925
13.632,2350618.177816899487
13.633,2350555.27029999997
13.634,2350492.372011099937
13.634,2350601.877658800217
13.635,2350538.980564699502
13.635,2350648.478181200095
13.636,2350585.582282199515
13.637,2350522.695607500145
13.637,2350632.177165099412
13.638,2350569.291685000057
13.638,2350678.765214799897
13.639,2350615.880929700095
13.64,2350553.005865099832
13.64,2350662.463343099687
13.641,2350599.58947290014
13.641,2350709.038926799775
13.642,2350646.166251299895
13.643,2350583.302792599417
13.643,2350692.736201699815
13.644,2350629.873937299467
13.644,2350739.299325699912
13.645,2350676.438255799925
13.646,2350613.58639889955
13.646,2350722.995749699875
13.647,2350660.145086799745
13.648,2350597.303634199307
13.648,2350706.69695189967
13.649,2350643.85669279936
13.649,2350753.241995799347
13.65,2350690.402930399397
13.651,2350627.573071599932
13.651,2350736.942348499777
13.652,2350674.113683000202
13.652,2350783.474948699577
13.653,2350720.647476700132
13.654,2350657.829207600087
13.654,2350767.174454399377
13.655,2350704.35737819969
13.655,2350813.69461739994
13.656,2350750.878734599792
13.657,2350688.072050999845
13.657,2350797.393278200175
13.658,2350734.587787399992
13.658,2350843.901010399677
13.659,2350781.096712799737
13.66,2350718.301610499617
13.66,2350827.598828699432
13.661,2350764.804919099425
13.661,2350874.094136599445
13.662,2350811.301419999445
13.663,2350748.51789500005
13.663,2350857.791114700022
13.664,2350795.008782199577
13.665,2350732.235638500182
13.665,2350841.492864999915
13.666,2350778.7209131997
13.666,2350887.970144899557
13.667,2350825.199385399925
13.668,2350762.437810899687
13.668,2350871.6710564997
13.669,2350808.910673799915
13.669,2350918.135927999387
13.67,2350855.376737399952
13.671,2350792.626728099765
13.671,2350901.836003200147
13.672,2350839.087185500182
13.672,2350948.288472799577
13.673,2350885.540846900077
13.674,2350822.802398699327
13.674,2350931.987713899457
13.675,2350869.25045699998
13.675,2350978.42778789997
13.676,2350915.691722699432
13.677,2350852.964831499375
13.677,2350962.126197299915
13.678,2350899.400497099377
13.678,2351008.553882099682
13.679,2350945.829373499375
13.68,2350883.11403509974
13.68,2350992.251461999485
13.681,2350929.53731449972
13.681,2351038.666764100077
13.682,2350975.953807899725
13.683,2350913.25001829955
13.683,2351022.3635168001
13.684,2350959.660917899565
13.685,2350896.967482599425
13.685,2351006.06503469962
13.686,2350943.372789699577
13.686,2351052.462370299727
13.687,2350989.77131580002
13.688,2350927.089421399862
13.688,2351036.163062499827
13.689,2350973.482358099887
13.689,2351082.54803129937
13.69,2351019.868517199525
13.691,2350957.198159399437
13.691,2351066.247900099487
13.692,2351003.578732099377
13.692,2351112.620508300135
13.693,2351049.95253049954
13.694,2350987.293705299492
13.694,2351096.319555999707
13.695,2351033.6619203994
13.695,2351142.679810099297
13.696,2351080.023364500137
13.697,2351017.376067799512
13.697,2351126.37803899962
13.698,2351063.731931699432
13.698,2351172.72594540007
13.699,2351110.081027800212
13.7,2351047.445255499327
13.7,2351156.423357699992
13.701,2351093.788774499662
13.702,2351031.163333799682
13.702,2351140.12552910018
13.703,2351077.501277099357
13.703,2351186.455520699727
13.704,2351123.832457699805
13.705,2351061.218533399507
13.705,2351170.156877099532
13.706,2351107.544141300017
13.706,2351216.474536700167
13.707,2351153.862989699462
13.708,2351091.26057779975
13.708,2351200.17508019972
13.709,2351137.573856599625
13.709,2351246.48041430022
13.71,2351183.880379299627
13.711,2351121.289475599297
13.711,2351230.180147299535
13.712,2351167.590431699525
13.712,2351276.473162199362
13.713,2351213.88463499955
13.714,2351151.305235499512
13.714,2351260.172086900092
13.715,2351197.593875300132
13.715,2351306.452788899647
13.716,2351243.875765499657
13.717,2351181.307866199865
13.717,2351290.150907599362
13.718,2351227.58419589977
13.719,2351165.02660539932
13.719,2351273.853779399765
13.72,2351211.29737609997
13.72,2351320.116618099612
13.721,2351257.561402199782
13.722,2351195.01530389953
13.722,2351303.818685299712
13.723,2351241.273773999877
13.723,2351350.069226799525
13.724,2351287.525502800002
13.725,2351224.99089249968
13.725,2351333.770491799335
13.726,2351271.237068300132
13.726,2351380.00874250009
13.727,2351317.476506199682
13.728,2351254.953379999837
13.728,2351363.709207499395
13.729,2351301.187267799855
13.729,2351409.935173699627
13.73,2351347.414420999582
13.731,2351284.902774699955
13.731,2351393.634840900072
13.732,2351331.12438100017
13.732,2351439.848528999827
13.733,2351377.339255799532
13.734,2351314.83908549975
13.734,2351423.547400599337
13.735,2351361.048416499975
13.735,2351469.74881689995
13.736,2351407.251019199375
13.737,2351344.762320700095
13.737,2351453.446895199822
13.738,2351390.959382699797
13.739,2351328.480966599652
13.739,2351437.149719799862
13.74,2351374.672489100127
13.74,2351483.33333329949
13.741,2351420.857288399705
13.742,2351358.390336199657
13.742,2351467.03536599967
13.743,2351404.569599099452
13.743,2351513.206723399455
13.744,2351450.7421419993
13.745,2351388.286649699315
13.745,2351496.90796650014
13.746,2351434.453659200102
13.746,2351543.06707409955
13.747,2351480.61395209934
13.748,2351418.169915599745
13.748,2351526.767529799597
13.749,2351464.32467819936
13.749,2351572.914393799375
13.75,2351510.47272729966
13.751,2351448.040142499837
13.751,2351556.614064400077
13.752,2351494.182664299377
13.752,2351602.74869109969
13.753,2351540.318475999862
13.754,2351477.897338999427
13.754,2351586.447578899557
13.755,2351524.027626300225
13.756,2351461.616749099452
13.756,2351570.151206700125
13.757,2351507.7415133994
13.757,2351616.268081699492
13.758,2351553.859572599637
13.759,2351491.460135200052
13.759,2351599.970928099932
13.76,2351537.572674400167
13.76,2351646.075581399717
13.761,2351583.678511699657
13.762,2351521.290510099375
13.762,2351629.777648599815
13.763,2351567.390830500047
13.763,2351675.870086499482
13.764,2351613.484452200117
13.765,2351551.107882299452
13.765,2351659.57137669995
13.766,2351597.195990099565
13.766,2351705.65160539932
13.767,2351643.277402499687
13.768,2351580.91226029954
13.768,2351689.35212089959
13.769,2351626.988161799492
13.769,2351735.420146699987
13.77,2351673.057371099472
13.771,2351610.703652599822
13.771,2351719.119889600195
13.772,2351656.767354100002
13.772,2351765.175718800157
13.773,2351702.824366499662
13.774,2351640.482067699535
13.774,2351748.874691399737
13.775,2351686.53357530012
13.776,2351624.201509899452
13.776,2351732.578397199507
13.777,2351670.247514000157
13.777,2351778.616534799335
13.778,2351716.286834099325
13.779,2351653.966180399985
13.779,2351762.31947170011
13.78,2351700
13.78,2351808.3454281995
13.781,2351746.027138799425
13.782,2351683.717892900105
13.782,2351792.047598299565
13.783,2351729.739534200165
13.783,2351838.061379999845
13.784,2351775.75449799932
13.785,2351713.456655799407
13.785,2351821.762785599562
13.786,2351759.466125099915
13.786,2351867.76439869962
13.787,2351805.468919999892
13.788,2351743.18247749935
13.788,2351851.46504209935
13.789,2351789.17978100012
13.789,2351897.454492699347
13.79,2351835.170413299457
13.791,2351772.895366500127
13.791,2351881.15437600016
13.792,2351818.880510400042
13.793,2351756.6156746
13.793,2351864.858986400062
13.794,2351802.595331300047
13.794,2351910.83079599961
13.795,2351848.568321899502
13.796,2351786.314873899327
13.796,2351894.534647699437
13.797,2351832.282380199985
13.797,2351940.494310399512
13.798,2351878.243223699735
13.799,2351816.001159499395
13.799,2351924.197405599982
13.8,2351861.956521700132
