SduBuffer:vector ExtClientServerExample.gnb.cellularNic.rlc.UmTxEntity Lcid: 1 (#0 - test-0-20250830-13:43:36-16472),
0.5225700008,3
0.523,2
0.523,1
0.5237987748,2
0.524,1
0.524,0
0.5253443408,1
0.5259607428,2
0.526,1
0.527,0
0.5298533368,1
0.53,0
0.5304895798,1
0.5308780928,2
0.531,1
0.5318447458,2
0.532,1
0.532,0
0.5323707208,1
0.5327424398,2
0.533,1
0.5332189388,2
0.5335726988,3
0.5339066428,4
0.534,3
0.534,2
0.5344338988,3
0.5347874068,4
0.535,3
0.5353027528,4
0.5356673428,5
0.5359999318,6
0.536,5
0.536,4
0.5365688918,5
0.5369168458,6
0.537,5
0.537,4
0.538,3
0.5384958608,4
0.5388644248,5
0.539,4
0.539,3
0.5393956098,4
0.5397545028,5
0.54,4
0.54,3
0.5403496028,4
0.5407180068,5
0.541,4
0.5412514648,5
0.5416059148,6
0.5419330318,7
0.542,6
0.542,5
0.5428512348,6
0.543,5
0.543,4
0.5433959208,5
0.5437566598,6
0.544,5
0.5443378668,6
0.5446985968,7
0.545,6
0.545,5
0.5452134288,6
0.5455526858,7
0.5458804068,8
0.546,7
0.546,6
0.5463339718,7
0.5466712698,8
0.5469885748,9
0.547,8
0.5474626768,9
0.5478142938,10
0.548,9
0.548,8
0.549,7
0.549,6
0.5499539798,7
0.55,6
0.5505778038,7
0.5509515728,8
0.551,7
0.551,6
0.5514689798,7
0.5518257138,8
0.552,7
0.5523828688,8
0.5527438828,9
0.553,8
0.553,7
0.5539286048,8
0.554,7
0.554,6
0.555,5
0.5554609538,6
0.556,5
0.556,4
0.5567333888,5
0.557,4
0.557,3
0.5579389688,4
0.558,3
0.5589508658,4
0.559,3
0.559,2
0.56,1
0.56,0
0.5633658828,1
0.5638554198,2
0.564,1
0.5648958158,2
0.565,1
0.565,0
0.5653947748,1
0.5657557558,2
0.566,1
0.5662305858,2
0.5665900188,3
0.5669238128,4
0.567,3
0.567,2
0.5673912168,3
0.5677424008,4
0.568,3
0.5682607488,4
0.5686359948,5
0.5689677688,6
0.569,5
0.569,4
0.5695295458,5
0.5698968298,6
0.57,5
0.57,4
0.571,3
0.5715459658,4
0.5719150958,5
0.572,4
0.572,3
0.5724593118,4
0.5728193048,5
0.573,4
0.573,3
0.5733667218,4
0.5737231088,5
0.574,4
0.5742487658,5
0.5745973188,6
0.5749204588,7
0.575,6
0.575,5
0.5757247168,6
0.576,5
0.576,4
0.5763013478,5
0.5766610628,6
0.5769926118,7
0.577,6
0.5775554638,7
0.5778994598,8
0.578,7
0.578,6
0.5784175458,7
0.5787643188,8
0.579,7
0.579,6
0.5792932628,7
0.5796343158,8
0.5799549098,9
0.58,8
0.5804937198,9
0.5808359228,10
0.581,9
0.581,8
0.582,7
0.582,6
0.5829952558,7
0.583,6
0.5836017478,7
0.5839697408,8
0.584,7
0.584,6
0.5844992228,7
0.5848537738,8
0.585,7
0.5853810338,8
0.5857336878,9
0.586,8
0.586,7
0.5866992808,8
0.587,7
0.587,6
0.5872662568,7
0.5876290968,8
0.5879593038,9
0.588,8
0.5886841488,9
0.589,8
0.589,7
0.5894565098,8
0.59,7
0.59,6
0.5907794808,7
0.591,6
0.5918619748,7
0.592,6
0.592,5
0.593,4
0.593,3
0.594,2
0.595,1
0.595,0
0.5983893248,1
0.5989155668,2
0.599,1
0.5996107008,2
0.6,1
0.6,0
0.6000025488,1
0.6005401028,2
0.6008864158,3
0.601,2
0.6013550348,3
0.6017254148,4
0.602,3
0.602,2
0.6022410698,3
0.6026023058,4
0.6029343368,5
0.603,4
0.604,3
0.604,2
0.6048761088,3
0.605,2
0.605,1
0.6054704878,2
0.6058474368,3
0.606,2
0.6063918698,3
0.6067543598,4
0.607,3
0.607,2
0.6072737538,3
0.6076391368,4
0.6079693818,5
0.608,4
0.608,3
0.6089134218,4
0.609,3
0.6094680608,4
0.6098269648,5
0.61,4
0.61,3
0.6103825288,4
0.6107362528,5
0.611,4
0.611,3
0.6112793748,4
0.6116232808,5
0.6119408218,6
0.612,5
0.6124768928,6
0.6128219948,7
0.613,6
0.613,5
0.6133377318,6
0.6136917278,7
0.614,6
0.614,5
0.615,4
0.6152952628,5
0.6156653228,6
0.6159971498,7
0.616,6
0.616,5
0.6165513948,6
0.6169217858,7
0.617,6
0.617,5
0.6174684998,6
0.6178292828,7
0.618,6
0.6183741188,7
0.6187300558,8
0.619,7
0.619,6
0.6197872638,7
0.62,6
0.6209741238,7
0.621,6
0.621,5
0.622,4
0.622,3
0.6223759458,4
0.623,3
0.6234437028,4
0.624,3
0.624,2
0.6247149428,3
0.625,2
0.625,1
0.626,0
0.6294256818,1
0.6299131998,2
0.63,1
0.6308118238,2
0.631,1
0.631,0
0.6313245998,1
0.6316973548,2
0.632,1
