Connecting to host 192.168.3.2, port 10021
[  6] local 192.168.2.2 port 59068 connected to 192.168.3.2 port 10021
[  6]  66.00-67.00  sec  0.00 Bytes  0.00 bits/sec    0   2.28 MBytes       
[  6]  67.00-68.00  sec  0.00 Bytes  0.00 bits/sec    0   2.28 MBytes       
[  6]  68.00-69.00  sec  0.00 Bytes  0.00 bits/sec    0   2.28 MBytes       
[  6]  69.00-70.00  sec  0.00 Bytes  0.00 bits/sec    0   2.28 MBytes       
[  6]  70.00-71.00  sec  0.00 Bytes  0.00 bits/sec    0   2.28 MBytes       
[  6]  71.00-72.00  sec  0.00 Bytes  0.00 bits/sec    0   2.28 MBytes       
[  6]  72.00-73.00  sec  0.00 Bytes  0.00 bits/sec    0   2.29 MBytes       
[  6]  73.00-74.00  sec  83.8 MBytes   703 Mbits/sec    0   2.29 MBytes       
[  6]  74.00-75.00  sec  0.00 Bytes  0.00 bits/sec    0   2.29 MBytes       
[  6]  75.00-76.00  sec  0.00 Bytes  0.00 bits/sec    0   2.29 MBytes       
[  6]  76.00-77.00  sec  0.00 Bytes  0.00 bits/sec    0   2.29 MBytes       
[  6]  77.00-78.00  sec  0.00 Bytes  0.00 bits/sec    0   2.29 MBytes       
[  6]  78.00-79.00  sec  0.00 Bytes  0.00 bits/sec    0   2.29 MBytes       
[  6]  79.00-80.00  sec  0.00 Bytes  0.00 bits/sec    0   2.29 MBytes       
[  6]  80.00-81.00  sec  0.00 Bytes  0.00 bits/sec    0   2.30 MBytes       
[  6]  81.00-82.00  sec  0.00 Bytes  0.00 bits/sec    0   2.30 MBytes       
[  6]  82.00-83.00  sec  0.00 Bytes  0.00 bits/sec    0   2.30 MBytes       
[  6]  83.00-84.00  sec  0.00 Bytes  0.00 bits/sec    0   2.30 MBytes       
[  6]  84.00-85.00  sec  0.00 Bytes  0.00 bits/sec    0   2.30 MBytes       
[  6]  85.00-86.00  sec  0.00 Bytes  0.00 bits/sec    0   2.30 MBytes       
[  6]  86.00-87.00  sec  0.00 Bytes  0.00 bits/sec    0   2.30 MBytes       
[  6]  87.00-88.00  sec  0.00 Bytes  0.00 bits/sec    0   2.31 MBytes       
[  6]  88.00-89.00  sec  0.00 Bytes  0.00 bits/sec    0   2.31 MBytes       
[  6]  89.00-90.00  sec  0.00 Bytes  0.00 bits/sec    0   2.31 MBytes       
[  6]  90.00-91.00  sec  0.00 Bytes  0.00 bits/sec    0   2.31 MBytes       
[  6]  91.00-92.00  sec  0.00 Bytes  0.00 bits/sec    0   2.31 MBytes       
[  6]  92.00-93.00  sec  0.00 Bytes  0.00 bits/sec    0   2.31 MBytes       
[  6]  93.00-94.00  sec  0.00 Bytes  0.00 bits/sec    0   2.31 MBytes       
[  6]  94.00-95.00  sec  0.00 Bytes  0.00 bits/sec    0   2.32 MBytes       
[  6]  95.00-96.00  sec  0.00 Bytes  0.00 bits/sec    0   2.32 MBytes       
[  6]  96.00-97.00  sec  0.00 Bytes  0.00 bits/sec    0   2.32 MBytes       
[  6]  97.00-98.00  sec  0.00 Bytes  0.00 bits/sec    0   2.32 MBytes       
[  6]  98.00-99.00  sec  0.00 Bytes  0.00 bits/sec    0   2.32 MBytes       
[  6]  99.00-100.00 sec  0.00 Bytes  0.00 bits/sec    0   2.32 MBytes       
[  6] 100.00-101.00 sec  0.00 Bytes  0.00 bits/sec    0   2.32 MBytes       
[  6] 101.00-102.00 sec  0.00 Bytes  0.00 bits/sec    0   2.32 MBytes       
[  6] 102.00-103.00 sec  0.00 Bytes  0.00 bits/sec    0   2.33 MBytes       
[  6] 103.00-104.00 sec  0.00 Bytes  0.00 bits/sec    0   2.33 MBytes       
[  6] 104.00-105.00 sec  0.00 Bytes  0.00 bits/sec    0   2.33 MBytes       
[  6] 105.00-106.00 sec  0.00 Bytes  0.00 bits/sec    0   2.33 MBytes       
[  6] 106.00-107.00 sec  0.00 Bytes  0.00 bits/sec    0   2.33 MBytes       
[  6] 107.00-108.00 sec  0.00 Bytes  0.00 bits/sec    0   2.33 MBytes       
[  6] 108.00-109.00 sec  0.00 Bytes  0.00 bits/sec    0   2.33 MBytes       
[  6] 109.00-110.00 sec  0.00 Bytes  0.00 bits/sec    0   2.33 MBytes       
[  6] 110.00-111.00 sec  83.8 MBytes   703 Mbits/sec    0   2.34 MBytes       
[  6] 111.00-112.00 sec  0.00 Bytes  0.00 bits/sec    0   2.34 MBytes       
[  6] 112.00-113.00 sec  0.00 Bytes  0.00 bits/sec    0   2.34 MBytes       
[  6] 113.00-114.00 sec  0.00 Bytes  0.00 bits/sec    0   2.34 MBytes       
[  6] 114.00-115.00 sec  0.00 Bytes  0.00 bits/sec    0   2.34 MBytes       
[  6] 115.00-116.00 sec  0.00 Bytes  0.00 bits/sec    0   2.34 MBytes       
[  6] 116.00-117.00 sec  0.00 Bytes  0.00 bits/sec    0   2.34 MBytes       
[  6] 117.00-118.00 sec  0.00 Bytes  0.00 bits/sec    0   2.35 MBytes       
[  6] 118.00-119.00 sec  0.00 Bytes  0.00 bits/sec    0   2.35 MBytes       
[  6] 119.00-120.00 sec  0.00 Bytes  0.00 bits/sec    0   2.35 MBytes       
[  6] 120.00-121.00 sec  0.00 Bytes  0.00 bits/sec    0   2.35 MBytes       
[  6] 121.00-122.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  6] 122.00-123.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  6] 123.00-124.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  6] 124.00-125.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  6] 125.00-125.70 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  6]   0.00-125.70 sec   501 MBytes  33.4 Mbits/sec  8514            sender
[  6]   0.00-125.70 sec  0.00 Bytes  0.00 bits/sec                  receiver
iperf3: interrupt - the client has terminated by signal Interrupt(2)
