rlcDelayDl:vector ExtClientServerExample.ue.cellularNic.nrRlc.um (#0 - test-0-20250824-22:30:48-60671),
0.468,0.007474341199999999
0.468,0.007100376199999999
0.469,0.007545857199999998
0.47,0.008180318199999998
0.47,0.007585669199999998
0.471,0.0082171332
0.472,0.007298067199999999
0.472,0.006663891199999999
0.473,0.007299910199999998
0.473,0.0067870012
0.474,0.007431647199999998
0.475,0.008100688199999997
0.475,0.007575208199999999
0.476,0.008234560199999997
0.476,0.0074008592
0.477,0.008044334199999999
0.478,0.008491599199999998
0.478,0.008131599199999998
0.479,0.008256205199999998
0.479,0.0054321782
0.483,0.004150358199999999
0.485,0.004843998199999999
0.486,0.005428473199999998
0.486,0.005073413199999999
0.487,0.005580734199999999
0.488,0.006212541199999999
0.488,0.005657044199999999
0.489,0.006294503199999999
0.489,0.005757325199999999
0.49,0.006396939199999999
0.491,0.007067139199999999
0.491,0.006583116199999999
0.492,0.007188975199999999
0.492,0.0052747182
0.493,0.005690607199999999
0.494,0.006324516199999999
0.494,0.005790959199999999
0.495,0.006436353199999999
0.495,0.0061048192
0.496,0.006578552199999998
0.497,0.0072348202
0.497,0.0063442892
0.498,0.0070060612
0.498,0.006480537199999998
0.499,0.0071349242
0.5,0.007585211199999998
0.5,0.007242774199999999
0.501,0.007723887199999999
0.501,0.0073807222
0.502,0.008062721199999997
0.503,0.008547085199999998
0.503,0.0082096662
0.504,0.008680399199999997
0.505,0.009307897199999998
0.505,0.007351262199999999
0.506,0.007680489199999999
0.506,0.007312279199999998
0.507,0.007791891199999999
0.508,0.008435876199999997
0.508,0.0080998132
0.509,0.008590034199999999
0.509,0.008250767199999998
0.51,0.008391308199999999
0.511,0.009030394199999999
0.511,0.008485592199999999
0.512,0.009131165199999999
0.512,0.008540639199999998
0.513,0.009176764199999999
0.514,0.0091209852
0.514,0.0070688442
0.518,0.004328571199999998
0.519,0.004601030199999999
0.52,0.005172625199999999
0.52,0.004649320199999999
0.521,0.005267219199999999
0.522,0.005804881199999998
0.522,0.005458105199999998
0.523,0.006126698199999999
0.523,0.0056684122
0.524,0.006321721199999999
0.525,0.0070006132
0.525,0.0047575762
0.526,0.005375525199999999
0.526,0.005037580199999999
0.527,0.005488794199999999
0.528,0.006134357199999999
0.528,0.005553917199999999
0.529,0.006199924199999999
0.529,0.0053498842
0.53,0.0060024442
0.531,0.006470840199999999
0.531,0.006111269199999999
0.532,0.0064965062
0.532,0.006133774199999999
0.533,0.006588012199999999
0.534,0.007234269199999998
0.534,0.006723125199999999
0.535,0.007373128199999998
0.535,0.0070453952
0.536,0.007460544199999998
0.537,0.008102767199999999
0.537,0.0064702062
0.538,0.0071064952
0.539,0.007545774199999999
0.539,0.007190996199999999
0.54,0.0076433482
0.54,0.0072905442
0.541,0.007774547199999998
0.542,0.0084182782
0.542,0.008085765199999997
0.543,0.008114108199999997
0.543,0.007535606199999999
0.544,0.008169980199999999
0.545,0.0080880592
0.545,0.005366977199999999
0.55,0.0040709522
0.551,0.004523714199999999
0.552,0.005134543199999999
0.552,0.004630158199999999
0.553,0.0052588792
0.554,0.005797324199999998
0.554,0.005417567199999999
0.555,0.006063947199999999
0.555,0.005596165199999999
0.556,0.006247374199999999
0.557,0.006702408199999999
0.557,0.0063470742
0.558,0.007018856199999999
0.558,0.004687945199999999
0.559,0.0041490802
0.563,0.0045168302
0.564,0.0040471602
0.565,0.004149072199999999
0.566,0.004378155199999999
0.568,0.004185082199999998
0.569,0.004611459199999999
0.57,0.0052355452
0.57,0.004695123199999999
0.571,0.005329972199999999
0.572,0.005694553199999998
0.572,0.005172181199999998
0.573,0.005286904199999999
0.573,0.004743305199999998
0.574,0.005389076199999998
0.575,0.006059202199999998
0.575,0.005496314199999999
0.576,0.006133516199999999
